Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	Intact	Partially intact	Uncertain loss	Lost	Missing	ref_human	ref_mouse
Tragelaphus strepsiceros	greater kudu	9946	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraStr1	GCA_006410795.1	 13,901 	 2,214 	 1,320 	 511 	 484 	 18,004 	 17,877 
Tragulus javanicus	Java mouse-deer	9849	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Tragulina; Tragulidae; Tragulus	HLtraJav1	GCA_004024965.2	 16,605 	 646 	 489 	 506 	 184 	 18,272 	 18,312 
Tragulus kanchil	-	1088131	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Tragulina; Tragulidae; Tragulus	HLtraKan1	GCA_006408655.1	 9,950 	 3,341 	 3,228 	 950 	 961 	 16,987 	 16,288 
Trichechus manatus	West Indian manatee	9778	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Trichechidae; Trichechus	HLtriManLat2	DNA Zoo Consortium	 15,608 	 1,404 	 554 	 341 	 523 	 18,025 	 17,929 
Trichechus manatus latirostris	Florida manatee	127582	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Trichechidae; Trichechus; Trichechus manatus	triMan1	GCF_000243295.1	 15,676 	 1,410 	 542 	 390 	 412 	 18,103 	 18,183 
Trichosurus vulpecula	common brushtail	9337	Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Trichosurus	HLtriVul1	GCA_011100635.1	 13,619 	 152 	 817 	 1,482 	 2,360 	 14,862 	 12,421 
Tupaia belangeri	northern tree shrew	37347	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Scandentia; Tupaiidae; Tupaia	tupBel1	GCA_000181375.1	 2,368 	 4,687 	 4,878 	 1,302 	 5,195 	 12,303 	 11,341 
Tupaia chinensis	Chinese tree shrew	246437	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Scandentia; Tupaiidae; Tupaia	tupChi1	GCF_000334495.1	 12,632 	 2,770 	 1,527 	 425 	 1,076 	 17,460 	 17,664 
Tursiops aduncus	Indo-pacific bottlenose dolphin	79784	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturAdu1	GCA_003227395.1	 15,655 	 637 	 870 	 1,062 	 206 	 17,660 	 17,470 
Tursiops aduncus	Indo-pacific bottlenose dolphin	79784	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturAdu2	DNA Zoo Consortium	 15,908 	 417 	 859 	 1,081 	 165 	 17,672 	 17,516 
Tursiops truncatus	common bottlenose dolphin	9739	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturTru4	GCF_011762595.1	 16,558 	 80 	 673 	 1,064 	 55 	 17,822 	 17,669 
Tursiops truncatus	common bottlenose dolphin	9739	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturTru3	GCF_001922835.1	 11,324 	 2,640 	 786 	 1,265 	 2,415 	 15,178 	 14,765 
Urocitellus parryii	Arctic ground squirrel	9999	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Urocitellus	HLuroPar1	GCF_003426925.1	 16,561 	 677 	 498 	 376 	 318 	 18,303 	 19,017 
Uromys caudimaculatus	giant uromys	36800	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Uromys	HLuroCau1	DNA Zoo Consortium	 15,647 	 1,222 	 464 	 533 	 564 	 17,798 	 20,902 
Uropsilus gracilis	gracile shrew mole	182669	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Uropsilus	HLuroGra1	GCA_004024945.1	 12,584 	 1,962 	 516 	 829 	 2,539 	 15,444 	 14,308 
Ursus americanus	American black bear	9643	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	HLursAme1	GCA_003344425.1	 14,773 	 1,691 	 1,224 	 349 	 393 	 18,305 	 18,248 
Ursus americanus	American black bear	9643	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	HLursAme2	DNA Zoo Consortium	 14,865 	 1,649 	 1,222 	 361 	 333 	 18,356 	 18,186 
Ursus arctos horribilis	brown bear	116960	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus; Ursus arctos	HLursArc1	GCF_003584765.1	 17,376 	 267 	 407 	 307 	 73 	 18,666 	 18,848 
Ursus maritimus	polar bear	29073	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	ursMar1	GCF_000687225.1	 11,591 	 3,407 	 1,591 	 459 	 1,382 	 17,157 	 17,302 
Ursus thibetanus thibetanus	Asiatic black bear	441215	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus; Ursus thibetanus	HLursThi1	GCA_009660055.1	 17,079 	 421 	 439 	 332 	 159 	 18,536 	 18,687 
Vicugna pacos	alpaca	30538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna	vicPac2	GCF_000164845.1	 13,181 	 2,632 	 1,098 	 520 	 999 	 17,468 	 17,484 
Vicugna pacos	alpaca	30538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna	HLvicPac4	DNA Zoo Consortium	 13,133 	 2,639 	 1,096 	 319 	 1,243 	 17,419 	 17,321 
Vicugna pacos huacaya	alpaca	273913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna; Vicugna pacos	HLvicPacHua3	GCA_000767525.1	 15,756 	 1,252 	 598 	 366 	 458 	 18,195 	 18,485 
Vicugna vicugna mensalis	vicugna	273917	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna; Vicugna vicugna	HLvicVicMen1	GCA_013265495.1	 17,246 	 269 	 556 	 282 	 77 	 18,670 	 19,011 
Vombatus ursinus	common wombat	29139	Mammalia; Theria; Metatheria; Diprotodontia; Vombatidae; Vombatus	HLvomUrs1	GCF_900497805.2	 12,921 	 661 	 791 	 1,243 	 2,814 	 14,631 	 12,268 
Vulpes lagopus	Arctic fox	494514	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulLag1	GCA_004023825.1	 15,898 	 1,321 	 412 	 461 	 338 	 18,178 	 17,922 
Vulpes vulpes	red fox	9627	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulVul2	DNA Zoo Consortium	 15,325 	 1,511 	 582 	 313 	 699 	 17,990 	 17,826 
Vulpes vulpes	red fox	9627	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulVul1	GCF_003160815.1	 15,354 	 1,508 	 596 	 382 	 590 	 18,044 	 18,053 
Xerus inauris	South African ground squirrel	234690	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Xerini; Xerus	HLxerIna1	GCA_004024805.1	 15,737 	 1,495 	 444 	 403 	 351 	 18,258 	 18,826 
Zalophus californianus	California sea lion	9704	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Zalophus	HLzalCal1	GCA_009762305.1	 16,627 	 58 	 1,238 	 492 	 15 	 18,543 	 18,689 
Zapus hudsonius	meadow jumping mouse	160400	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Zapodinae; Zapus	HLzapHud1	GCA_004024765.1	 13,013 	 2,885 	 616 	 739 	 1,177 	 16,921 	 18,014 
Ziphius cavirostris	Cuvier's beaked whale	9760	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Ziphius	HLzipCav1	GCA_004364475.1	 9,210 	 5,279 	 906 	 843 	 2,192 	 15,785 	 14,267 

